dátum	kén-dioxid	nitrogén-oxidok	szén-monoxid	ózon	szálló por
2009-01-01	5,67	29,01	495,26	24,76	40,34
2009-01-02	9,43	69,13	947,70	11,17	54,69
2009-01-03	13,19	87,05	1115,10	12,36	69,40
2009-01-04	6,43	63,18	863,89	10,57	66,45
2009-01-05	6,70	69,79	808,76	14,72	60,52
2009-01-06	31,26	187,60	1417,05	12,13	86,23
2009-01-07	21,30	107,61	1239,15	12,90	90,38
2009-01-08	25,45	212,29	1743,26	10,15	103,76
2009-01-09	23,91	196,03	1931,72	9,03	152,78
2009-01-10	56,01	131,63	1787,68	17,68	146,08
2009-01-11	28,86	108,29	1577,78	14,85	145,59
2009-01-12	20,20	87,35	820,41	14,73	82,39
2009-01-13	42,68	115,78	789,92	15,55	88,63
2009-01-14	34,72	180,15	1467,83	4,64	120,30
2009-01-15	22,56	182,65	1548,20	3,62	107,24
2009-01-16	16,89	205,19	1577,98	2,66	93,54
2009-01-17	10,80	56,11	301,87	32,34	22,73
2009-01-18	5,19	43,00	444,74	22,59	41,51
2009-01-19	15,20	94,31	800,61	20,99	51,96
2009-01-20	8,89	145,26	1210,97	9,81	62,79
2009-01-21	10,79	221,72	1603,51	2,82	85,04
2009-01-22	8,34	152,07	1168,09	9,35	53,80
2009-01-23	12,06	135,00	1322,72	1,95	55,22
2009-01-24	8,70	81,58	951,49	5,42	36,94
2009-01-25	24,95	47,99	625,16	18,89	28,56
2009-01-26	22,49	138,49	860,84	15,84	40,71
2009-01-27	22,38	158,47	1076,07	7,22	48,92
2009-01-28	10,17	61,97	531,59	14,47	12,02
2009-01-29	5,71	56,82	459,61	27,09	9,68
2009-01-30	3,61	59,60	489,85	39,27	16,81
2009-01-31	11,66	65,04	624,76	39,31	22,41
